,text,score
0,no ambisi kuasa rakyat no ambisi layan rakyat itu lihat mknya aja,-1
1,nah gue pikir sentimen tahana oke di malam tapi mnrt politicawave malah balik geng u,-1
2,urut pertama best moment pak basuki misahin bu sylvie amp,-1
3,ini artikel yg jelas nyata di yg dapet respon positif di socmed adalah,-1
4,agus makin santai nahok makin santun nanies makin esmosi n nimho n,-1
5,pilkada dki jangan pilih pki bahaya pilih atau saja tahun baru imlek pkb aj,-1
6,pdip sengaja becah belah rakyat warga dki tidak pilih ahok wni ang,-1
7,nama nya juga debat nbiasa nya itu,-1
8,kita ttp bisa bijak pilih tanpa harus teriak tanpa harus umpat,-1
9,ibu terima kasih atas doa dan kumpul ajar yang telah bangun pikir karakter dan semangat untuk berju u,-1
10,sylviana kesyikan ngomong sendiri lupa tanya anies asyik nyerang pake data yg salah ya ahok joged aja udd ude,-1
11,sylviana kesyikan ngomong sendiri lupa tanya anies asyik nyerang pake data yg salah ya ahok joged aja udd ude,-1
12,sylviana kesyikan ngomong sendiri lupa tanya anies asyik nyerang pake data yg salah ya ahok joged aja,-1
13,tiap ahok djarot ngomong nambah ilmu ya kita,-1
14,makasih jangan kasih kendor untuk salam dua jadiiii uc uc,-1
15,udc udfamohon sabar ini uji udd ude,-1
16,ini gambar yg saya sampai bagai didik politik agar supaya masyarakat tau siapa agus amp,-1
17,orang yang henti ajar akan jadi milik masa lalu orang yang masih terus b,-1
18,as usual ga pernah jawab dgn solusi,-1
19,yah nama jh odong si,-1
20,bohong bohong terus org pakai opini kerja baik pdhl kerja absolutely buruk,-1
21,pdip sengaja becah belah rakyat warga dki tidak pilih ahok pria as,-1
22,ini yg gue bilang yg hebat di tim itu cuma tukang foto coba zoom orang dikit kebyakan bers u,-1
23,pdip sengaja becah belah rakyat warga dki tidak pilih ahok dua gan,-1
24,pilkada dki jangan pilih pki bahaya pilih atau saja tahun baru imlek pkb aj,-1
25,sy ga percaya mpok laku gesture jempol yg sgt bad attitude ini moga hanya edit ini hanya uj u,-1
26,sylviana kesyikan ngomong sendiri lupa tanya anies asyik nyerang pake data yg salah ya ahok joged aja udd ude,-1
27,makanya prof rhenald kasali bilang bhw dlm trjd tarung lawan udd ude n,-1
28,dalam hidup terkadang kita lebih banyak dapat apa yang tidak kita ingin dan ketika ki,-1
29,kalau guna fantasi agus maka agus bisa tuding bahwa sby tidak beres pimpin  tahun masih banyak yang miskin u,-1
30,kalau guna fantasi anies maka anies bisa tuding bhw ali sadikin bapak boy sadikin gak beres pimpin jakart u,-1
31,para pemujapemuji kalau msh juga puji ini terlalu mbok ya kalau tugas boleh tapi realistis u,-1
32,maklumnamanya jg paslon hapalan,-1
33,kata ipm di ibu kota mana di seluruh dunia sll plg tinggi benar di amerika nyata tidak be u,-1
34,pilkada dki jakarta harap tidak pilih nomor bahaya laten komunis,-1
35,jangan pilih cagub yg dekat dgn sarang koruptor udd ude,-1
36,lah lu monolog jam yg hadir orang lu sendiri puja knp gak jelas ngeles aja emg gak bisa u,-1
37,,-1
