text,score
induk anak cucu usaha ada cicit usaha jg kali et dah itu usaha beranakpinak iya kalo beranakpinak untung kalo merugikanberanakpinak rugi,-1
indah dunia banyak jabat banyak uang oh indonesia riwayat kini sikat pak erickthohir kami rakyat sama sih pegawai brengsek yg tidak akhlak,1
untuk hal yg baik patut kita dukung,1
kereeen,1
jangan ngancem ngancem pak ee terjun bebas kau lah kami,-1
moga telah masalah bangsat ini harga pesawat garuda turun turun turun,-1
pramugari senior benar ulah selir mantan kini puter pilih sendiri,-1
ungkap cara mantan temu awak kabin nyata direksi kita gin,-1
skandal gundik dirut garuda selir dan lain lengkap dalam bentuk video jangan lupa like dan subscribe terima kasih d link via,-1
semua out kuasa ari askhara dan direktur kuak rangkap jabat komut bawah usaha,1
asa begitu berat tugas pak dan garuda belum selesai datang jiwasraya asabri dan juga belum tuntas,1
tuding terima suap miliar erick ada pihak yang gerah,-1
sih pak,1
ghibah fenomenal akhir tahun bongkar skandal di tubuh garuda wancine resik bumn,-1
menteri bumn erick thohir tanggap viralnya informasi di media sosial kait duga leceh pramugari oleh direksi garuda indonesia,1
menteri bumn erick thohir buka suara respons jabat garuda indonesia yang tuding germo oleh akun apa kata erick via,1
ayo ayo di sidik dan di jelas ke bangsa inijangan lah para jabat negeri ini jadi pembajaknegara butuh jabat yg nurani baik untuk maju negarabukan jadi rampok sembunyi,1
menteri badan usaha milik negara bumn akan rapi bisnis hotel yang milik bumn rencana kelola hotel bumn akan satu,1
erick thohir ganti dewan komisaris pt pertamina,1
pt pertamina persero beri mandat untuk implementasi b mulai awal tahun,1
menteri bumn erick thohir tunjuk zulkifli zaini bagai direktur utama pln dan amien sunaryadi bagai komisaris utama pln,1
dirut garuda indonesia henti presiden jangan main,1
garagara harley davidson ari askhara harus tinggal garuda indonesia simak video di sini,1
kalau jabat masih main curang akhlaw nya sudah rusak bravo,1
saat laku konferensi pers di menteri uang kamis menteri bumn erick thohir aku sedih atas insiden selundup moge harley davidson yang nyata milik dirut garuda indonesia,1
menteri bumn erick thohir pecat dirut garuda indonesia ari askhara kait selundup harley dan dua sepeda brompton dalam pesawat baru garuda cek berita,-1
mantap lanjut pak erick,1
happy weekend,1
mantap memang mantap moga bawa ubah yang positif dan sukses yang lebih untuk pertamina,1
mantul,1
selamat jalan tugas moga lantik pun dapat jalan dengan lancar juga semangat selalu,1
